지역,2018년1월,2018년2월,2018년3월,2018년4월,2018년5월,2018년6월,2018년7월,2018년8월,2018년9월,2018년10월,2018년11월,2018년12월,2019년1월,2019년2월,2019년3월,2019년4월,2019년5월,2019년6월,2019년7월,2019년8월,2019년9월,2019년10월,2019년11월,2019년12월,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
서울,1201,1202,1289,1408,1644,2041,2456,2850,3383,3892,4569,4756,4745,4820,5150,5392,5827,6268,6851,7083,7520,7973,8956,9804,9997,10954,11507,12121,12476,13746,14322,15310,16414,16960,17284,17479
경기,833,851,964,1091,1355,1905,2296,2595,2884,3283,3748,3905,3946,4017,4666,5259,5950,6595,7215,7584,7964,8413,8865,9147,9174,9645,11128,11661,11945,12952,13432,14236,15229,15499,15855,16149
인천,251,258,277,300,368,509,605,692,731,758,784,801,811,843,1001,1173,1295,1436,1610,1686,1802,1926,2063,2183,2216,2355,2737,2810,2863,3218,3421,3705,3945,4027,4304,4613
대구,638,630,747,822,1021,1698,2056,2392,2783,3051,3725,4395,4672,4709,4917,5252,5743,6063,6409,6680,6994,7343,8240,8469,8434,8415,8617,8681,8759,8833,8940,8977,9067,9068,9077,9020
제주,3331,3346,3377,3491,3541,3862,4557,5019,6010,6735,7570,8088,8062,8068,8352,8800,9367,9901,10124,10311,10529,10749,10878,11064,11151,11284,11451,11577,11729,11985,12096,12179,12299,12305,12337,12352
