지역,승용차,승합차,화물차
서울,21623,0,0
부산,7281,0,0
대구,9919,0,0
인천,6472,0,0
광주,3680,0,0
대전,4657,0,0
울산,4079,0,0
세종,1173,0,0
경기,23479,0,0
강원,4627,0,0
충북,4103,0,0
충남,5691,0,0
전북,3676,0,0
전남,4707,0,0
경북,5090,0,0
경남,6791,0,0
제주,12871,0,0
