지역,2018년1월,2018년2월,2018년3월,2018년4월,2018년5월,2018년6월,2018년7월,2018년8월,2018년9월,2018년10월,2018년11월,2018년12월,2019년1월,2019년2월,2019년3월,2019년4월,2019년5월,2019년6월,2019년7월,2019년8월,2019년9월,2019년10월,2019년11월,2019년12월,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
서울,3117268,3116923,3115402,3118055,3118052,3118428,3119041,3118682,3120541,3120004,3119133,3119895,3123675,3124142,3122086,3118897,3115980,3114064,3114289,3113809,3114167,3113443,3113477,3114353,3117569,3113030,3113826,3116402,3120877,3127964,3132827,3132761,3135428,3136772,3139994,3139882
경기,5409838,5419112,5437891,5459424,5479881,5499897,5518936,5535028,5552738,5571856,5596404,5613706,5637743,5638832,5643966,5652145,5667047,5685024,5703140,5717395,5722192,5729090,5743225,5756545,5769889,5770568,5791468,5819029,5842708,5872113,5890314,5903412,5928322,5947859,5968972,5987977
인천,1518008,1522781,1527380,1532683,1537223,1543386,1548359,1552812,1557836,1563850,1568818,1576806,1585055,1588948,1591113,1594930,1601370,1607962,1615987,1617135,1618944,1624437,1628011,1633140,1635224,1633234,1637122,1654655,1657922,1662279,1666854,1663453,1663825,1666990,1671306,1671829
대구,1159141,1160456,1162406,1163398,1164869,1167576,1168986,1169411,1171070,1171677,1173162,1173958,1175608,1175247,1176560,1173656,1173851,1174892,1175942,1177383,1178655,1180657,1182159,1181685,1183055,1183282,1185276,1188143,1188459,1191829,1196129,1202928,1207658,1206921,1208576,1210176
제주,501053,504376,508813,513288,517886,522722,528281,532151,535682,538655,542444,545490,549068,551807,555117,557323,560481,564460,569173,572911,574729,577556,581687,585151,588781,590848,595892,584992,589792,594394,600229,603689,608263,611747,615486,602990
